Country Key,Region
CO,17
CO,18
CO,19
CO,20
CO,23
CO,25
CO,27
CO,41
CO,44
CO,47
CO,50
CO,52
CO,54
CO,63
CO,66
CO,68
CO,70
CO,73
CO,76
CO,81
CO,85
CO,86
CO,88
CO,91
CO,94
CO,95
CO,97
CO,99
CR,00
CR,SJ
CS,00
CU,00
CV,00
CX,00
CY,00
CZ,00
CZ,11
CZ,20
CZ,21
CZ,31
CZ,32
CZ,41
CZ,42
CZ,51
CZ,52
CZ,53
CZ,61
CZ,62
CZ,63
CZ,64
CZ,71
CZ,72
CZ,80
CZ,81
DE,00
DE,01
DE,02
DE,03
DE,04
DE,05
DE,06
DE,07
DE,08
DE,09
DE,10
DE,11
DE,12
DE,13
DE,14
DE,15
DE,16
DJ,00
DK,00
DK,001
DK,002
DK,003
DK,004
DK,005
DM,00
DO,00
DZ,00
EC,00
EE,00
EG,00
EH,00
ER,00
ES,00
ES,01
ES,02
ES,03
ES,04
ES,05
ES,06
ES,07
ES,08
ES,09
ES,10
ES,11
ES,12
ES,13
ES,14
ES,15
ES,16
ES,17
ES,18
ES,19
ES,20
ES,21
ES,22
ES,23
ES,24
ES,25
ES,26
ES,27
ES,28
ES,29
ES,30
ES,31
ES,32
ES,33
ES,34
ES,35
ES,36
ES,37
ES,38
ES,39
ES,40
ES,41
ES,42
ES,43
ES,44
ES,45
ES,46
ES,47
ES,48
ES,49
ES,50
ET,00
EU,00
FI,00
FI,001
FI,002
FI,003
FI,004
FI,005
FI,006
FI,1
FI,10
FI,11
FI,12
FI,13
FI,14
FI,15
FI,16
FI,17
FI,18
FI,19
FI,2
FI,3
FI,4
FI,5
FI,6
FI,7
FI,8
FI,9
FJ,00
FK,00
FM,00
FO,00
FR,00
FR,01
FR,02
FR,03
FR,04
FR,05
FR,06
FR,07
FR,08
FR,09
FR,10
FR,11
FR,12
FR,13
FR,14
FR,15
FR,16
FR,17
FR,18
FR,19
FR,21
FR,22
FR,23
FR,24
FR,25
FR,26
FR,27
FR,28
FR,29
FR,2A
FR,2B
FR,30
FR,31
FR,32
FR,33
FR,34
FR,35
FR,36
FR,37
FR,38
FR,39
FR,40
FR,41
FR,42
FR,43
FR,44
FR,45
FR,46
FR,47
FR,48
FR,49
FR,50
FR,51
FR,52
FR,53
FR,54
FR,55
FR,56
FR,57
FR,58
FR,59
FR,60
FR,61
FR,62
FR,63
FR,64
FR,65
FR,66
FR,67
FR,68
FR,69
FR,70
FR,71
FR,72
FR,73
FR,74
FR,75
FR,76
FR,77
FR,78
FR,79
FR,80
FR,81
FR,82
FR,83
FR,84
FR,85
FR,86
FR,87
FR,88
FR,89
FR,90
FR,91
FR,92
FR,93
FR,94
FR,95
FR,97
FR,971
FR,972
FR,973
FR,974
FR,975
FR,976
FR,99
GA,00
GB,00
GB,AB
GB,AG
GB,AL
GB,AM
GB,AN
GB,AT
GB,AY
GB,BE
GB,BF
GB,BK
GB,BR
GB,BS
GB,BT
GB,BU
GB,BW
GB,CA
GB,CB
GB,CD
GB,CF
GB,CH
GB,CM
GB,CN
GB,CO
GB,CT
GB,CU
GB,DB
GB,DD
GB,DF
GB,DN
GB,DO
GB,DT
GB,DU
GB,DV
GB,EL
GB,ES
GB,FI
GB,FL
GB,FM
GB,GL
GB,GR
GB,HA
GB,HT
GB,HU
GB,HW
GB,IN
GB,IW
GB,KE
GB,KI
GB,KK
GB,KN
GB,LA
GB,LD
GB,LE
GB,LI
GB,LN
GB,MD
GB,ME
GB,MG
GB,MM
GB,MR
GB,MT
GB,MX
GB,NH
GB,NK
GB,NR
GB,NT
GB,NU
GB,OR
GB,OX
GB,PE
GB,PM
GB,PR
GB,RA
GB,RE
GB,RO
GB,RU
GB,RX
GB,SE
GB,SF
GB,SG
GB,SH
GB,SK
GB,SL
GB,SO
GB,ST
GB,SU
GB,SV
GB,SW
GB,SY
GB,TY
GB,WA
GB,WC
GB,WE
GB,WG
GB,WI
GB,WK
GB,WT
GB,YN
GB,YS
GB,YW
GD,00
GE,00
GF,00
GH,00
GI,00
GL,00
GM,00
GN,00
GP,00
GQ,00
GR,00
GR,01
GR,02
GR,03
GR,04
GR,05
GR,06
GR,07
GR,08
GR,09
GR,1
GR,10
GR,11
GR,12
GR,13
GR,14
GR,15
GR,16
GR,17
GR,18
GR,19
GR,20
GR,21
GR,22
GR,23
GR,24
GR,25
GR,26
GR,27
GR,28
GR,29
GR,3
GR,30
GR,31
GR,32
GR,33
GR,34
GR,35
GR,36
GR,37
GR,38
GR,39
GR,4
GR,40
GR,41
GR,42
GR,43
GR,44
GR,45
GR,46
GR,47
GR,48
GR,49
GR,5
GR,50
GR,51
GR,52
GR,6
GR,62
GR,64
GR,69
GR,7
GR,73
GR,80
GR,81
GR,82
GR,83
GR,85
GR,91
GR,93
GR,94
GR,A1
GR,A2
GR,A3
GR,A4
GR,A5
GR,A6
GR,A7
GR,A8
GR,A9
GR,B1
GR,B2
GR,B3
GS,00
GT,00
GU,00
GW,00
GY,00
HK,00
HK,HK
HK,KLN
HK,NT
HM,00
HN,00
HR,00
HR,1
HR,11
HR,12
HR,13
HR,14
HR,15
HR,16
HR,17
HR,18
HR,19
HR,2
HR,20
HR,21
HR,3
HR,4
HR,5
HR,6
HR,7
HR,8
HR,9
HR,A00
HR,B00
HR,C00
HR,D00
HR,E00
HR,F00
HR,G00
HR,H00
HR,I00
HR,J00
HR,K00
HR,L00
HR,M00
HR,N00
HR,O00
HR,P00
HR,R00
HR,S00
HR,T00
HR,U00
HR,V00
HT,00
HU,01
HU,02
HU,03
HU,04
HU,05
HU,06
HU,07
HU,08
HU,09
HU,10
HU,11
HU,12
HU,13
HU,14
HU,15
HU,16
HU,17
HU,18
HU,19
HU,20
HU,21
HU,22
HU,23
HU,24
HU,25
HU,26
HU,27
HU,28
HU,29
HU,30
HU,31
HU,32
HU,33
HU,34
HU,35
HU,36
HU,37
HU,38
HU,39
ID,00
ID,01
ID,02
ID,03
ID,04
ID,05
ID,06
ID,07
ID,08
ID,09
ID,10
ID,11
ID,12
ID,13
ID,14
ID,15
ID,16
ID,17
ID,18
ID,19
ID,20
ID,21
ID,22
ID,23
ID,24
ID,25
ID,26
ID,27
IE,00
IE,C
IE,CE
IE,CK
IE,CL
IE,CN
IE,CV
IE,CW
IE,D
IE,DB
IE,DG
IE,DL
IE,G
IE,GW
IE,KD
IE,KE
IE,KK
IE,KY
IE,LD
IE,LF
IE,LH
IE,LI
IE,LK
IE,LM
IE,LS
IE,LT
IE,MH
IE,MN
IE,MO
IE,MT
IE,MY
IE,OF
IE,OY
IE,RC
IE,RN
IE,SG
IE,SO
IE,TA
IE,TP
IE,WD
IE,WF
IE,WH
IE,WK
IE,WM
IE,WW
IE,WX
IL,00
IL,01
IL,02
IL,03
IL,04
IL,05
IL,06
IN,00
IN,01
IN,02
IN,03
IN,04
IN,05
IN,06
IN,07
IN,08
IN,09
IN,10
IN,11
IN,12
IN,13
IN,14
IN,15
IN,16
IN,17
IN,18
IN,19
IN,20
IN,21
IN,22
IN,23
IN,24
IN,25
IN,26
IN,27
IN,28
IN,29
IN,30
IN,31
IN,32
IN,33
IN,34
IN,35
IN,36
IN,AN
IN,AP
IN,AR
IN,AS
IN,BR
IN,CH
IN,CT
IN,DD
IN,DL
IN,DN
IN,GA
IN,GJ
IN,HP
IN,HR
IN,JH
IN,JK
IN,KA
IN,KL
IN,LD
IN,MH
IN,ML
IN,MN
IN,MP
IN,MZ
IN,NL
IN,OR
IN,PB
IN,PY
IN,RJ
IN,SK
IN,TN
IN,TR
IN,TS
IN,UL
IN,UP
IN,WB
IO,00
IQ,00
IR,00
IS,00
IT,00
IT,AG
IT,AL
IT,AN
IT,AO
IT,AP
IT,AQ
IT,AR
IT,AT
IT,AV
IT,BA
IT,BG
IT,BI
IT,BL
IT,BN
IT,BO
IT,BR
IT,BS
IT,BT
IT,BZ
IT,CA
IT,CB
IT,CE
IT,CH
IT,CI
IT,CL
IT,CN
IT,CO
IT,CR
IT,CS
IT,CT
IT,CZ
IT,EE
IT,EN
IT,FC
IT,FE
IT,FG
IT,FI
IT,FM
IT,FR
IT,FU
IT,GE
IT,GO
IT,GR
IT,IM
IT,IS
IT,KR
IT,LC
IT,LE
IT,LI
IT,LO
IT,LT
IT,LU
IT,MB
IT,MC
IT,ME
IT,MI
IT,MN
IT,MO
IT,MS
IT,MT
IT,NA
IT,NO
IT,NU
IT,OG
IT,OR
IT,OT
IT,PA
IT,PC
IT,PD
IT,PE
IT,PG
IT,PI
IT,PL
IT,PN
IT,PO
IT,PR
IT,PT
IT,PU
IT,PV
IT,PZ
IT,RA
IT,RC
IT,RE
IT,RG
IT,RI
IT,RM
IT,RN
IT,RO
IT,SA
IT,SI
IT,SO
IT,SP
IT,SR
IT,SS
IT,SU
IT,SV
IT,TA
IT,TE
IT,TN
IT,TO
IT,TP
IT,TR
IT,TS
IT,TV
IT,UD
IT,VA
IT,VB
IT,VC
IT,VE
IT,VI
IT,VR
IT,VS
IT,VT
IT,VV
IT,ZA
JE,01
JE,02
JE,03
JE,04
JE,05
JE,06
JE,07
JE,08
JE,09
JE,10
JE,11
JE,12
JM,00
JO,00
JP,00
JP,01
JP,02
JP,03
JP,04
JP,05
JP,06
JP,07
JP,08
JP,09
JP,10
JP,11
JP,12
JP,13
JP,14
JP,15
JP,16
JP,17
JP,18
JP,19
JP,20
JP,21
JP,22
JP,23
JP,24
JP,25
JP,26
JP,27
JP,28
JP,29
JP,30
JP,31
JP,32
JP,33
JP,34
JP,35
JP,36
JP,37
JP,38
JP,39
JP,40
JP,41
JP,42
JP,43
JP,44
JP,45
JP,46
JP,47
KE,00
KG,00
KH,00
KI,00
KM,00
KN,00
KP,00
KR,00
KR,01
KR,02
KR,03
KR,04
KR,05
KR,06
KR,07
KR,08
KR,09
KR,10
KR,11
KR,12
KR,13
KR,14
KR,15
KR,16
KR,17
KW,KW
KY,00
KZ,00
KZ,01
KZ,02
KZ,03
KZ,04
KZ,05
KZ,06
KZ,07
KZ,08
KZ,09
KZ,10
KZ,11
KZ,12
LA,00
LB,00
LC,00
LI,00
LK,00
LR,00
LS,00
LT,00
LU,00
LV,00
LY,00
MA,00
MC,00
MD,00
ME,00
MG,00
MH,00
MK,00
ML,00
MM,00
MN,00
MO,00
MP,00
MQ,00
MR,00
MS,00
MT,00
MU,00
MV,00
MW,00
MX,00
MX,AGS
MX,BC
MX,BCS
MX,CHI
MX,CHS
MX,CMP
MX,COA
MX,COL
MX,DF
MX,DGO
MX,GRO
MX,GTO
MX,HGO
MX,JAL
MX,MCH
MX,MEX
MX,MOR
MX,NAY
MX,NL
MX,OAX
MX,PUE
MX,QR
MX,QRO
MX,SIN
MX,SLP
MX,SON
MX,TAB
MX,TLX
MX,TMS
MX,VER
MX,YUC
MX,ZAC
MY,00
MY,JOH
MY,KED
MY,KEL
MY,KUL
MY,LAB
MY,MEL
MY,PAH
MY,PEL
MY,PER
MY,PIN
MY,PSK
MY,SAB
MY,SAR
MY,SEL
MY,SER
MY,TRE
MY,WPP
MZ,00
NA,00
NC,00
NE,00
NF,00
NG,00
NI,00
NL,00
NL,01
NL,02
NL,03
NL,04
NL,05
NL,06
NL,07
NL,08
NL,09
NL,10
NL,11
NL,12
NO,01
NO,02
NO,03
NO,04
NO,05
NO,06
NO,07
NO,08
NO,09
NO,10
NO,11
NO,12
NO,14
NO,15
NO,16
NO,17
NO,18
NO,19
NO,20
NP,00
NR,00
NT,00
NU,00
NZ,00
NZ,AKL
NZ,BOP
NZ,CAN
NZ,HAB
NZ,MAN
NZ,NTL
NZ,OTA
NZ,STL
NZ,TAR
NZ,WAI
NZ,WEC
NZ,WLG
OM,00
OR,00
PA,00
PE,01
PE,02
PE,03
PE,04
PE,05
PE,06
PE,07
PE,08
PE,09
PE,10
PE,11
PE,12
PE,13
PE,14
PE,15
PE,16
PE,17
PE,18
PE,19
PE,20
PE,21
PE,22
PE,23
PE,24
PF,00
PG,00
PH,0
PH,00
PH,01
PH,02
PH,03
PH,04
PH,05
PH,06
PH,07
PH,08
PH,09
PH,10
PH,11
PH,12
PH,13
PH,14
PH,15
PH,40
PH,41
PK,00
PL,00
PL,DSL
PL,K-P
PL,LBL
PL,LBS
PL,LDZ
PL,MAL
PL,MAZ
PL,OPO
PL,PDK
PL,PDL
PL,POM
PL,SLS
PL,SWK
PL,W-M
PL,WLK
PL,Z-P
PM,00
PN,00
PR,00
PS,00
PT,00
PT,10
PT,11
PT,12
PT,13
PT,14
PT,15
PT,16
PT,17
PT,20
PT,21
PT,22
PT,23
PT,24
PT,25
PT,26
PT,27
PT,28
PT,29
PT,30
PT,31
PT,32
PT,33
PT,34
PT,40
PT,41
PT,42
PT,43
PT,50
PT,60
PT,70
PW,00
PY,00
QA,001
QA,002
QA,003
QA,004
RE,00
RO,01
RO,02
RO,03
RO,04
RO,05
RO,06
RO,07
RO,08
RO,09
RO,10
RO,11
RO,12
RO,13
RO,14
RO,15
RO,16
RO,17
RO,18
RO,19
RO,20
RO,21
RO,22
RO,23
RO,24
RO,25
RO,26
RO,27
RO,28
RO,29
RO,30
RO,31
RO,32
RO,33
RO,34
RO,35
RO,36
RO,37
RO,38
RO,39
RO,40
RO,41
RO,42
RS,00
RS,001
RS,002
RS,003
RS,004
RS,006
RS,007
RS,008
RS,009
RS,010
RS,011
RS,012
RS,013
RS,014
RS,015
RS,016
RS,017
RS,018
RS,019
RS,020
RS,021
RS,022
RS,023
RS,024
RS,025
RS,026
RS,027
RS,028
RS,029
RS,030
RS,031
RS,032
RS,033
RS,034
RS,035
RS,036
RS,037
RS,038
RS,039
RS,040
RS,041
RS,042
RS,043
RS,044
RS,045
RS,046
RS,048
RS,049
RS,050
RS,051
RS,052
RS,053
RS,054
RS,055
RS,056
RS,057
RS,058
RS,059
RS,060
RS,061
RS,062
RS,063
RS,065
RS,066
RS,067
RS,068
RS,069
RS,070
RS,072
RS,074
RS,075
RS,076
RS,077
RS,078
RS,079
RS,080
RS,081
RS,082
RS,083
RS,084
RS,085
RS,086
RS,087
RS,088
RS,089
RS,091
RS,092
RS,093
RS,094
RS,095
RS,096
RS,097
RS,098
RS,099
RS,100
RS,101
RS,102
RS,103
RS,104
RS,105
RS,107
RS,108
RS,109
RS,110
RS,111
RS,112
RS,113
RS,114
RS,115
RS,116
RS,117
RS,118
RS,119
RS,120
RS,121
RS,122
RS,123
RS,124
RS,125
RS,126
RS,127
RS,128
RS,129
RS,201
RS,202
RS,203
RS,204
RS,205
RS,206
RS,207
RS,208
RS,209
RS,210
RS,211
RS,212
RS,213
RS,214
RS,215
RS,216
RS,217
RS,218
RS,219
RS,220
RS,221
RS,222
RS,223
RS,224
RS,225
RS,226
RS,227
RS,228
RS,229
RS,230
RS,231
RS,232
RS,233
RS,234
RS,235
RS,236
RS,237
RS,238
RS,239
RS,240
RS,241
RS,242
RS,243
RS,244
RS,247
RS,250
RS,301
RS,303
RS,304
RS,305
RS,306
RS,307
RS,308
RS,309
RS,310
RS,311
RS,312
RS,313
RS,314
RS,315
RS,316
RS,317
RS,318
RS,319
RS,320
RS,321
RS,322
RS,324
RS,325
RS,326
RS,327
RS,328
RS,329
RS,330
RS,331
RS,501
RS,511
RS,521
RS,531
RS,541
RS,581
RS,591
RS,601
RU,01
RU,02
RU,03
RU,04
RU,05
RU,06
RU,07
RU,08
RU,09
RU,10
RU,11
RU,12
RU,13
RU,14
RU,15
RU,16
RU,17
RU,18
RU,19
RU,20
RU,21
RU,22
RU,23
RU,24
RU,25
RU,26
RU,27
RU,28
RU,29
RU,30
RU,31
RU,32
RU,33
RU,34
RU,35
RU,36
RU,37
RU,38
RU,39
RU,40
RU,41
RU,42
RU,43
RU,44
RU,45
RU,46
RU,47
RU,48
RU,49
RU,50
RU,51
RU,52
RU,53
RU,54
RU,55
RU,56
RU,57
RU,58
RU,59
RU,60
RU,61
RU,62
RU,63
RU,64
RU,65
RU,66
RU,67
RU,68
RU,69
RU,70
RU,71
RU,72
RU,73
RU,74
RU,75
RU,76
RU,77
RU,78
RU,79
RU,80
RU,81
RU,82
RU,83
RU,84
RU,85
RU,86
RU,87
RU,88
RU,89
RW,00
SA,00
SB,00
SC,00
SD,00
SE,00
SE,001
SE,002
SE,003
SE,004
SE,005
SE,006
SE,007
SE,008
SE,009
SE,010
SE,011
SE,012
SE,013
SE,014
SE,015
SE,016
SE,017
SE,018
SE,019
SE,020
SE,021
SG,00
SG,SG
SH,00
SI,00
SI,01
SI,02
SI,03
SI,04
SI,05
SI,06
SI,07
SI,08
SI,09
SI,10
SI,11
SI,12
SI,13
SI,14
SI,15
SI,16
SI,17
SI,18
SI,19
SI,20
SI,21
SI,22
SI,23
SI,24
SI,25
SI,26
SI,27
SI,28
SI,29
SI,30
SI,31
SI,32
SI,33
SI,34
SI,35
SI,36
SI,37
SI,38
SI,39
SI,40
SI,41
SI,42
SI,43
SI,44
SI,45
SI,46
SI,47
SI,48
SI,49
SI,50
SI,51
SI,52
SI,53
SI,54
SI,55
SI,56
SI,57
SI,58
SI,59
SI,60
SJ,00
SK,01
SK,02
SK,03
SK,04
SK,102
SK,103
SK,104
SK,105
SK,106
SK,107
SK,108
SK,201
SK,202
SK,203
SK,204
SK,205
SK,206
SK,207
SK,301
SK,302
SK,303
SK,304
SK,305
SK,306
SK,307
SK,308
SK,309
SK,401
SK,402
SK,403
SK,404
SK,405
SK,406
SK,407
SK,501
SK,502
SK,503
SK,504
SK,505
SK,506
SK,507
SK,508
SK,509
SK,510
SK,511
SK,601
SK,602
SK,603
SK,604
SK,605
SK,606
SK,607
SK,608
SK,609
SK,610
SK,611
SK,612
SK,613
SK,701
SK,702
SK,703
SK,704
SK,705
SK,706
SK,707
SK,708
SK,709
SK,710
SK,711
SK,712
SK,713
SK,801
SK,802
SK,803
SK,804
SK,805
SK,806
SK,807
SK,808
SK,809
SK,810
SK,811
SL,00
SM,00
SN,00
SO,00
SR,00
ST,00
SV,00
SY,00
SZ,00
TC,00
TD,00
TF,00
TG,00
TH,00
TH,01
TH,02
TH,03
TH,04
TH,05
TH,06
TH,07
TH,08
TH,09
TH,10
TH,100
TH,101
TH,102
TH,103
TH,104
TH,105
TH,106
TH,107
TH,108
TH,109
TH,11
TH,110
TH,111
TH,112
TH,113
TH,114
TH,115
TH,116
TH,117
TH,118
TH,119
TH,12
TH,120
TH,121
TH,122
TH,123
TH,13
TH,14
TH,15
TH,16
TH,17
TH,18
TH,19
TH,20
TH,21
TH,22
TH,23
TH,24
TH,25
TH,26
TH,27
TH,28
TH,29
TH,30
TH,31
TH,32
TH,33
TH,34
TH,35
TH,36
TH,37
TH,38
TH,39
TH,40
TH,41
TH,42
TH,43
TH,44
TH,45
TH,46
TH,47
TH,48
TH,49
TH,51
TH,52
TH,53
TH,54
TH,55
TH,56
TH,57
TH,58
TH,59
TH,60
TH,61
TH,62
TH,63
TH,64
TH,65
TH,66
TH,67
TH,68
TH,69
TH,70
TH,71
TH,72
TH,73
TH,74
TH,75
TH,76
TH,77
TH,78
TH,79
TH,80
TH,81
TH,82
TH,83
TH,84
TH,85
TH,86
TH,87
TH,88
TH,89
TH,90
TH,91
TH,92
TH,93
TH,94
TH,95
TH,96
TH,97
TH,98
TH,99
TJ,00
TK,00
TL,00
TM,00
TN,00
TO,00
TP,00
TR,00
TR,01
TR,02
TR,03
TR,04
TR,05
TR,06
TR,07
TR,08
TR,09
TR,10
TR,11
TR,12
TR,13
TR,14
TR,15
TR,16
TR,17
TR,18
TR,19
TR,20
TR,21
TR,22
TR,23
TR,24
TR,25
TR,26
TR,27
TR,28
TR,29
TR,30
TR,31
TR,32
TR,33
TR,34
TR,35
TR,36
TR,37
TR,38
TR,39
TR,40
TR,41
TR,42
TR,43
TR,44
TR,45
TR,46
TR,47
TR,48
TR,49
TR,50
TR,51
TR,52
TR,53
TR,54
TR,55
TR,56
TR,57
TR,58
TR,59
TR,60
TR,61
TR,62
TR,63
TR,64
TR,65
TR,66
TR,67
TR,68
TR,69
TR,70
TR,71
TR,72
TR,73
TR,74
TR,75
TR,76
TR,77
TT,00
TV,00
TW,00
TW,FJN
TW,KSH
TW,TCC
TW,TNC
TW,TPE
TW,TWN
TW,XBC
TZ,00
UA,00
UA,CHG
UA,CHR
UA,CHV
UA,DNP
UA,DON
UA,HAR
UA,HML
UA,HRS
UA,IVF
UA,KIE
UA,KIR
UA,KRM
UA,L'V
UA,LUG
UA,MIK
UA,M_K
UA,M_S
UA,ODS
UA,POL
UA,RIV
UA,SUM
UA,TER
UA,VIN
UA,VOL
UA,ZAK
UA,ZAP
UA,ZHI
UG,00
UM,00
UN,00
US,00
US,AK
US,AL
US,AR
US,AS
US,AZ
US,CA
US,CO
US,CT
US,DC
US,DE
US,FL
US,GA
US,GU
US,HI
US,IA
US,ID
US,IL
US,IN
US,KS
US,KY
US,LA
US,MA
US,MD
US,ME
US,MI
US,MN
US,MO
US,MP
US,MS
US,MT
US,NC
US,ND
US,NE
US,NH
US,NJ
US,NM
US,NV
US,NY
US,OH
US,OK
US,OR
US,PA
US,PR
US,RI
US,SC
US,SD
US,TN
US,TX
US,UT
US,VA
US,VI
US,VT
US,WA
US,WI
US,WV
US,WY
UY,00
UZ,00
VA,00
VC,00
VE,AMA
VE,ANZ
VE,APU
VE,ARA
VE,BAR
VE,BOL
VE,CAR
VE,COJ
VE,DA
VE,DF
VE,FAL
VE,GUA
VE,LAR
VE,MER
VE,MIR
VE,MON
VE,NE
VE,POR
VE,SUC
VE,TAC
VE,TRU
VE,VAR
VE,YAR
VE,ZUL
VG,00
VI,00
VN,00
VU,00
WF,00
WS,00
XK,01
YE,00
YT,00
ZA,00
ZA,EC
ZA,FS
ZA,GP
ZA,KZN
ZA,LP
ZA,MP
ZA,NC
ZA,NP
ZA,NW
ZA,WC
ZA,ZN
ZM,00
ZW,00
